Column1,Column2
#code:zh,
#key,value
,
language_name,zh
translator,冰川(@Shiho320)
,
#menubar,
file,文件
new,新建
open,打开
open_recent,打开最近
clear,清除
save,保存
save_as,另存为
export_sus,导出为.sus
export_usc,导出为.usc
exit,退出
edit,编辑
undo,撤销
redo,重做
select_all,全选
view,显示
settings,设置
window,窗口
vsync,VSync（垂直同步）
show_fps,显示FPS
debug,调试
create_auto_save,自动保存
help,帮助
about,关于
,
#dialogs,
file_not_found,未找到文档
file_not_found_msg1,文档
file_not_found_msg2,未找到
remove_recent_file_not_found,请确认是否删除最近使用的项目？
yes,是
no,否
unsaved_changes,谱面修改未保存
ask_save,是否保存？
warn_unsaved,未保存的修改将会丢失。
save_changes,保存
discard_changes,不保存
update_available,有更新版本
update_available_description,%s版本已更新。是否在浏览器中打开？
score_file,谱面文件
error,错误
error_load_score_file,读取谱面文件的过程中发生错误
error_load_music_file,音乐文件读取失败
cancel,取消
general,通用
key_config,快捷键设置
language,语言
auto,自动
auto_save,自动保存
auto_save_enable,自动保存
auto_save_interval,自动保存间隔（分钟）
auto_save_count,最大自动保存数量
accent_color,选框颜色
accent_color_help,请选择适用的选框颜色。最左侧的颜色可以从下面的设置中自定义。
select_accent_color,自定义颜色
display_mode,格式
theme,主题
base_theme,基本主题
theme_light,亮色
theme_dark,暗色
custom_color,自定义颜色
timeline,时间线
match_notes_size_to_timeline,Note长度与时间线配合
lane_width,轨道宽度
notes_height,Note长度
scrolling,滚动
scroll_speed_normal,滚动速度
scroll_speed_shift,滚动速度（按下Shift）
use_smooth_scroll,平滑滚动
smooth_scroll_time,平滑滚动时长
return_to_last_tick,暂停时回到开始位置
cursor_auto_scroll,光标自动滚动
cursor_auto_scroll_amount,光标自动滚动量
background,背景
background_image,背景画像
draw_background,显示背景
background_brightnes,背景透明度
lanes_opacity,轨道不透明度
video,视频
notes_se,打击音效
show_tick_in_properties,在属性中展示Tick
translation_by,翻译：%s
,
#scoreeditor,
options,配置
chart_properties,谱面属性
note_properties,Note属性
notes_timeline,时间线
select,选择
tap,Tap
hold,Hold
hold_step,节点
flick,Flick
critical,Critical
trace,Trace
guide,引导线
damage,Damage
bpm,BPM
time_signature,节拍
none,无
default,一般
left,左
right,右
normal,一般
hidden,隐藏
skip,无视
linear,线性
ease_in,入
ease_out,出
ease_in_out,入-出
ease_out_in,出-入
delete,删除
copy,复制
cut,剪切
paste,粘贴
flip_paste,镜像粘贴
duplicate,复制粘贴
flip_duplicate,镜像复制粘贴
flip,镜像
note_width,Note宽度
shrink_down,向下压缩
shrink_up,向上压缩
connect_holds,连接
split_hold,拆散
lerp_hispeeds,平滑流速
repeat_hold_mids,重复节点
step_type,节点种类
ease_type,缓动种类
flick_type,Flick方向
hold_type,Hold种类
fade_type,渐变种类
metadata,数据
title,标题
designer,谱师
artist,曲师
jacket,曲绘
lane_extension,轨道拓展
audio,音源
music_file,音源文件
music_offset,偏移
volume_master,主音量
volume_bgm,BGM音量
volume_se,击打音效音量
statistics,统计
taps,Tap
flicks,Flick
holds,Hold
steps,节点
traces,Trace
total,总计
combo,Combo
goto_measure,前往第……小节
division,%d分音符
division_affix,%d分音符
custom,自定义：
custom_division,自定义分割
snap_mode,捕捉模式
snap_mode_relative,相对捕捉
snap_mode_absolute,绝对捕捉
zoom,缩放
show_step_outlines,显示节点
draw_waveform,显示波形
edit_bpm,编辑BPM
tick,Tick
remove,删除
edit_time_signature,编辑节拍
measure,小节
skill,技能
increase_note_size,加宽Note
decrease_note_size,缩小Note
hi_speed,流速
edit_hi_speed,编辑流速
hi_speed_speed,谱面流速
fade_none,无
fade_in,淡入
fade_out,淡出
guide_color,引导线颜色
guide_neutral,白
guide_red,红
guide_blue,蓝
guide_green,绿
guide_yellow,黄
guide_purple,青
guide_cyan,紫
guide_black,黑
layer,图层
edit_skill,编辑技能发动时间
edit_fever,编辑FEVER时间
edit_none,编辑
edit_event,时间编辑
beat,节拍
lane,轨道
width,宽度
advanced,高级
note_properties_note,Note
note_properties_hi_speed,流速
note_properties_hold_note,Hold
note_properties_guide,引导线
note_properties_not_selected,没有Note或谱面流速被选中
note_properties_many_hold_notes,选择了多个Hold
translated_by,翻译：%s
zoom_tooltip,Ctrl+单击以编辑值
,
#presetmanager,
presets,预设
no_presets,目前没有预设
name,名称
description,说明
create_preset,创建预设
search,搜索
confirm,确定
,
#layermanager,
layers,图层
name,名称
create_layer,创建图层
confirm,确认
show_all_layers,展示所有图层
layer_rename,重命名图层
layer_up,上移
layer_down,下移
layer_merge,拼合图层
layer_delete,删除图层
layer_hide,隐藏图层
layer_show,显示图层
,
#waypointmanager,
waypoints,标记
create_waypoint,创建标记
edit_waypoint,编辑标记
waypoint_name,标记名称
,
#commands,
action,动作
keys,按键
add,添加
cmd_key_listen,等待输入……
new_chart,新建谱面
toggle_playback,播放/暂停
cancel_paste,取消粘贴
stop,停止
previous_tick,上一Tick
next_tick,下一Tick
timeline_select,选择
timeline_tap,插入Tap
timeline_hold,插入Hold
timeline_hold_step,插入节点
timeline_flick,插入Flick
timeline_critical,插入Critical
timeline_trace,插入Trace
timeline_guide,插入引导线
timeline_damage,插入Damage
timeline_bpm,添加BPM
timeline_time_signature,添加节拍
timeline_hi_speed,添加流速
zoom_in,放大
zoom_out,缩小
